# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
   Iapetus 1.810000e+21 1.429667e+12 -1.041247e+09 1.555915e-11 1.143803e+03 6.627653e+03 1.234901e-15
     Dione 1.100000e+21 1.432669e+12 4.690754e+07 1.545774e-11 4.325369e+03 2.405694e+02 1.226827e-15
    Tethys 6.170000e+20 1.433033e+12 -6.982839e+07 1.545010e-11 1.188564e+04 1.066670e+04 1.226147e-15
 Enceladus 1.080000e+20 1.432805e+12 1.221610e+08 1.545122e-11 4.891745e+03 -3.208359e+03 1.226316e-15
     Mimas 3.750000e+19 1.433079e+12 6.101841e+07 1.544849e-11 1.544467e+04 1.413410e+04 1.225948e-15
   Miranda 6.590000e+19 2.877070e+12 2.419572e+08 1.795764e-12 -5.562949e+03 1.149216e+04 1.425279e-16
     Ariel 1.350000e+21 2.877185e+12 1.694737e+08 1.795639e-12 -5.489944e+02 1.248301e+04 1.425154e-16
   Umbriel 1.170000e+21 2.876914e+12 -1.013786e+08 1.796249e-12 4.449945e+03 5.240040e+03 1.425616e-16
   Titania 3.420000e+21 2.876989e+12 -2.877900e+08 1.796092e-12 3.648581e+03 6.710763e+03 1.425495e-16
    Oberon 3.000000e+21 2.877311e+12 6.389504e+08 1.795289e-12 -2.665290e+03 8.486212e+03 1.424887e-16
    Triton 2.140000e+22 4.502792e+12 -1.679126e+08 4.585040e-13 3.564255e+03 2.823639e+03 3.638981e-17
Asteroid_1 7.852970e+17 5.631676e+10 -5.546500e+09 2.825417e+09 4.750630e+03 4.820148e+04 -3.137300e+01

# Step 6, Time: 2.160000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.022400e+02 5.660995e-02 2.954448e-07 7.099995e-03 5.902408e-06 2.051695e-11
   Mercury 3.301000e+23 5.788563e+10 1.206238e+09 1.351344e-04 -9.978508e+02 4.786109e+04 9.404873e-09
     Venus 4.867000e+24 1.081959e+11 8.824944e+08 3.727810e-07 -2.857354e+02 3.501900e+04 2.592362e-11
     Earth 5.972000e+24 1.495979e+11 7.504429e+08 6.549522e-08 -1.490042e+02 2.977899e+04 4.551613e-12
      Mars 6.417000e+23 2.278991e+11 6.080753e+08 1.059920e-08 -6.440088e+01 2.412993e+04 7.363326e-13
   Jupiter 1.898000e+27 7.784999e+11 3.293567e+08 1.426283e-10 -4.726519e+00 1.306959e+04 9.905646e-15
    Saturn 5.683000e+26 1.433000e+12 2.439339e+08 2.059459e-11 -1.637477e+00 9.679849e+03 1.430258e-15
    Uranus 8.681000e+25 2.877000e+12 1.713591e+08 2.394644e-12 -3.464497e-01 6.799948e+03 1.663005e-16
   Neptune 1.024000e+26 4.503000e+12 1.368332e+08 6.112379e-13 -3.633592e-01 5.429793e+03 4.244827e-17
      Moon 7.342000e+22 1.498252e+11 4.411214e+08 6.509781e-08 6.750024e+02 3.038503e+04 4.523506e-12
    Phobos 1.070000e+16 2.279147e+11 6.126031e+08 1.059852e-08 -3.410306e+02 2.533633e+04 7.362479e-13
    Deimos 1.480000e+15 2.279198e+11 6.141107e+08 1.059736e-08 -2.906142e+02 2.559596e+04 7.361899e-13
        Io 8.930000e+22 7.788920e+11 2.691619e+08 1.425070e-10 3.733965e+03 3.112715e+04 9.896176e-15
    Europa 4.800000e+22 7.791587e+11 3.102353e+08 1.422788e-10 4.966613e+02 2.705194e+04 9.881246e-15
  Ganymede 1.480000e+23 7.785766e+11 1.391645e+09 1.424637e-10 -1.090719e+04 1.386570e+04 9.895853e-15
  Callisto 1.080000e+23 7.773689e+11 1.831550e+09 1.432183e-10 -6.561635e+03 8.133083e+03 9.947620e-15
     Titan 1.345000e+23 1.433278e+12 -9.448960e+08 2.058678e-11 5.427448e+03 1.094829e+04 1.429654e-15
      Rhea 2.310000e+21 1.432712e+12 6.782857e+08 2.060113e-11 -7.167575e+03 4.964932e+03 1.430796e-15
   Iapetus 1.810000e+21 1.429671e+12 -1.017374e+09 2.074585e-11 1.153660e+03 6.631438e+03 1.440749e-15
     Dione 1.100000e+21 1.432687e+12 4.936032e+07 2.061041e-11 5.225963e+03 6.813288e+02 1.431297e-15
    Tethys 6.170000e+20 1.433075e+12 -2.524164e+07 2.059976e-11 1.168066e+04 1.238521e+04 1.430460e-15
 Enceladus 1.080000e+20 1.432832e+12 1.149778e+08 2.060167e-11 7.618690e+03 -1.995348e+03 1.430680e-15
     Mimas 3.750000e+19 1.433127e+12 1.272342e+08 2.059716e-11 1.315745e+04 1.839329e+04 1.430187e-15
   Miranda 6.590000e+19 2.877047e+12 2.789799e+08 2.394402e-12 -6.450244e+03 1.028410e+04 1.662883e-16
     Ariel 1.350000e+21 2.877181e+12 2.141491e+08 2.394216e-12 -1.147113e+03 1.240984e+04 1.662715e-16
   Umbriel 1.170000e+21 2.876930e+12 -8.148815e+07 2.395012e-12 4.549108e+03 5.525134e+03 1.663231e-16
   Titania 3.420000e+21 2.877002e+12 -2.632341e+08 2.394806e-12 3.651239e+03 6.821068e+03 1.663094e-16
    Oberon 3.000000e+21 2.877302e+12 6.693136e+08 2.393755e-12 -2.698241e+03 8.434235e+03 1.662405e-16
    Triton 2.140000e+22 4.502805e+12 -1.571729e+08 6.113426e-13 3.680588e+03 2.983254e+03 4.245515e-17
Asteroid_1 7.852970e+17 5.633333e+10 -5.372923e+09 2.825277e+09 4.602667e+03 4.821605e+04 -3.879699e+01

# Step 7, Time: 2.520000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.314514e+02 8.494909e-02 3.798567e-07 8.114275e-03 7.871982e-06 2.344775e-11
   Mercury 3.301000e+23 5.788153e+10 1.378528e+09 1.738708e-04 -1.140383e+03 4.785812e+04 1.076010e-08
     Venus 4.867000e+24 1.081947e+11 1.008562e+09 4.795099e-07 -3.265539e+02 3.501867e+04 2.964690e-11
     Earth 5.972000e+24 1.495972e+11 8.576465e+08 8.422840e-08 -1.702865e+02 2.977878e+04 5.203660e-12
      Mars 6.417000e+23 2.278988e+11 6.949429e+08 1.362921e-08 -7.360097e+01 2.412990e+04 8.416721e-13
